npc_id,query_index,utterance,submitted_at,received_at,elapsed_ms,ok,error,response_chars
initiate_joren,1,Tell me about yourself.,1777936862.0762997,1777936862.8868556,810.5548999737948,True,,208
initiate_joren,2,What's training like?,1777936862.8868911,1777936863.5173588,630.4671000107192,True,,157
initiate_joren,3,What do you do at St Damson's?,1777936863.5173872,1777936863.9547515,437.36370000988245,True,,95
initiate_joren,4,How long have you been here?,1777936863.9547727,1777936864.4265673,471.7941000126302,True,,108
initiate_joren,5,Tell me about your village.,1777936864.4265904,1777936865.0928082,666.2171999923885,True,,170
initiate_joren,6,What weapons do you train with?,1777936865.0928302,1777936865.794164,701.3332000351511,True,,192
initiate_joren,7,What's the daily routine?,1777936865.7941983,1777936866.6098468,815.6478999881074,True,,240
initiate_joren,8,What do the squires think of you?,1777936866.6098764,1777936867.236025,626.1483000125736,True,,157
initiate_joren,9,Are you nervous about the spring exam?,1777936867.2360466,1777936867.6854937,449.4463999872096,True,,80
initiate_joren,10,What's the best part of your day?,1777936867.6855369,1777936868.4046671,719.1297999816015,True,,216
initiate_joren,11,Tell me about yourself.,1777936868.4046917,1777936869.1715534,766.8609999818727,True,,214
initiate_joren,12,What's training like?,1777936869.1715758,1777936869.7151458,543.5692999744788,True,,136
initiate_joren,13,What do you do at St Damson's?,1777936869.7151694,1777936870.3407943,625.6241000373848,True,,173
initiate_joren,14,How long have you been here?,1777936870.3408175,1777936870.8152056,474.3877000291832,True,,91
initiate_joren,15,Tell me about your village.,1777936870.8152337,1777936871.3467577,531.5230999840423,True,,103
initiate_joren,16,What weapons do you train with?,1777936871.3467824,1777936871.8422732,495.4899000003934,True,,121
initiate_joren,17,What's the daily routine?,1777936871.8424103,1777936872.4317446,589.3331000115722,True,,162
initiate_joren,18,What do the squires think of you?,1777936872.4317677,1777936873.0761347,644.3664999678731,True,,161
initiate_joren,19,Are you nervous about the spring exam?,1777936873.076159,1777936873.7230353,646.8755999812856,True,,140
initiate_joren,20,What's the best part of your day?,1777936873.723121,1777936874.2787688,555.6470000301488,True,,117
initiate_joren,21,Tell me about yourself.,1777936874.2788095,1777936874.9644294,685.6182999908924,True,,153
initiate_joren,22,What's training like?,1777936874.9644568,1777936875.43582,471.36230004252866,True,,111
initiate_joren,23,What do you do at St Damson's?,1777936875.4358761,1777936875.9997683,563.890999997966,True,,134
initiate_joren,24,How long have you been here?,1777936875.9999278,1777936876.725089,725.159400026314,True,,174
initiate_joren,25,Tell me about your village.,1777936876.7251272,1777936877.4394453,714.3170000053942,True,,147
initiate_joren,26,What weapons do you train with?,1777936877.4394841,1777936877.9469395,507.45410000672564,True,,106
initiate_joren,27,What's the daily routine?,1777936877.9470055,1777936878.755328,808.3218000247143,True,,251
initiate_joren,28,What do the squires think of you?,1777936878.75535,1777936879.5323732,777.023000002373,True,,218
initiate_joren,29,Are you nervous about the spring exam?,1777936879.532396,1777936880.254117,721.7201999737881,True,,187
initiate_joren,30,What's the best part of your day?,1777936880.2542253,1777936880.9225855,668.3593000052497,True,,139
initiate_joren,31,Tell me about yourself.,1777936880.9226103,1777936881.7340186,811.4078000071459,True,,211
initiate_joren,32,What's training like?,1777936881.734046,1777936882.476473,742.4267000169493,True,,218
initiate_joren,33,What do you do at St Damson's?,1777936882.4764998,1777936883.0596213,583.1210000324063,True,,160
initiate_joren,34,How long have you been here?,1777936883.0597749,1777936883.6571093,597.3339000483975,True,,147
initiate_joren,35,Tell me about your village.,1777936883.6571336,1777936884.2913752,634.2410999932326,True,,148
initiate_joren,36,What weapons do you train with?,1777936884.2913988,1777936885.0230222,731.6232000011951,True,,195
initiate_joren,37,What's the daily routine?,1777936885.0230472,1777936885.8453796,822.3322000121698,True,,258
initiate_joren,38,What do the squires think of you?,1777936885.8454056,1777936886.5127802,667.3744000145234,True,,173
initiate_joren,39,Are you nervous about the spring exam?,1777936886.5128026,1777936887.167322,654.5182000263594,True,,149
initiate_joren,40,What's the best part of your day?,1777936887.167361,1777936887.778246,610.8843000256456,True,,160
initiate_joren,41,Tell me about yourself.,1777936887.7782922,1777936888.5194204,741.1266000126489,True,,196
initiate_joren,42,What's training like?,1777936888.5194666,1777936889.1313589,611.891700013075,True,,156
initiate_joren,43,What do you do at St Damson's?,1777936889.131382,1777936889.736782,605.3996999980882,True,,184
initiate_joren,44,How long have you been here?,1777936889.7368128,1777936890.413713,676.8997000181116,True,,175
initiate_joren,45,Tell me about your village.,1777936890.413734,1777936891.0392296,625.494499981869,True,,138
initiate_joren,46,What weapons do you train with?,1777936891.0392668,1777936891.5874126,548.1445000041276,True,,137
initiate_joren,47,What's the daily routine?,1777936891.5874398,1777936892.281062,693.621400045231,True,,215
initiate_joren,48,What do the squires think of you?,1777936892.2810903,1777936893.0011566,720.0659000081941,True,,190
initiate_joren,49,Are you nervous about the spring exam?,1777936893.0011787,1777936893.7335699,732.390699966345,True,,190
initiate_joren,50,What's the best part of your day?,1777936893.7335932,1777936894.4531472,719.5533000049181,True,,195
squire_ren,1,Tell me about yourself.,1777936894.4533408,1777936895.5896337,1136.292399954982,True,,198
squire_ren,2,What's it like training squires?,1777936895.589663,1777936896.4406142,850.950600055512,True,,244
squire_ren,3,How are the roads around here?,1777936896.4406354,1777936897.1137123,673.0761000071652,True,,199
squire_ren,4,Tell me about the local fief.,1777936897.1137471,1777936898.1954484,1081.7005999851972,True,,332
squire_ren,5,Who's currently teaching at the institute?,1777936898.1954806,1777936899.061416,865.9348000073805,True,,281
squire_ren,6,What's the spring exam like?,1777936899.061442,1777936900.1111932,1049.7508000116795,True,,344
squire_ren,7,Why do you mentor the initiates?,1777936900.1112149,1777936901.1089976,997.7820999920368,True,,303
squire_ren,8,How did you come to be at St Damson's?,1777936901.1090252,1777936901.8882718,779.2457999894395,True,,225
squire_ren,9,What's the trouble on the Eastern Road?,1777936901.8882985,1777936902.6463172,758.0182999954559,True,,205
squire_ren,10,What can you tell me about the neighbouring lands?,1777936902.6463413,1777936903.4916036,845.2615999849513,True,,267
squire_ren,11,Tell me about yourself.,1777936903.4916418,1777936904.2973506,805.708100029733,True,,218
squire_ren,12,What's it like training squires?,1777936904.2973728,1777936905.0279353,730.5617000092752,True,,203
squire_ren,13,How are the roads around here?,1777936905.0279582,1777936905.9524434,924.4845000212081,True,,263
squire_ren,14,Tell me about the local fief.,1777936905.9524636,1777936906.785942,833.4779000142589,True,,229
squire_ren,15,Who's currently teaching at the institute?,1777936906.7859678,1777936907.624768,838.7993999640457,True,,240
squire_ren,16,What's the spring exam like?,1777936907.624802,1777936908.423872,799.0693000028841,True,,246
squire_ren,17,Why do you mentor the initiates?,1777936908.4238923,1777936909.187028,763.1351000163704,True,,223
squire_ren,18,How did you come to be at St Damson's?,1777936909.1870515,1777936909.872792,685.7396999839693,True,,177
squire_ren,19,What's the trouble on the Eastern Road?,1777936909.8728178,1777936910.746738,873.9197000395507,True,,258
squire_ren,20,What can you tell me about the neighbouring lands?,1777936910.746764,1777936911.8934228,1146.6583000146784,True,,359
squire_ren,21,Tell me about yourself.,1777936911.8934433,1777936912.7071857,813.7410000199452,True,,237
squire_ren,22,What's it like training squires?,1777936912.707235,1777936913.3400445,632.8086000285111,True,,179
squire_ren,23,How are the roads around here?,1777936913.3400724,1777936914.0802076,740.1345999678597,True,,229
squire_ren,24,Tell me about the local fief.,1777936914.080232,1777936914.893151,812.918699986767,True,,205
squire_ren,25,Who's currently teaching at the institute?,1777936914.893173,1777936915.5367384,643.5648999758996,True,,158
